,title,issue,year,metaChar,alias,publisher,keep,firstName,lastName
40,Birds of Prey,None,2010,Lady Blackhawk,Zinda Blake,DC,1,Zinda,Blake
41,Birds of Prey,None,2010,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
42,Birds of Prey,None,2010,Penguin,,DC,1,null,null
43,Birds of Prey,None,2010,Savant,,DC,1,null,null
44,Birds of Prey,None,2010,Starman,Ted Knight,DC,1,Ted,Knight
45,Birds of Prey,None,2010,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
46,Birds of Prey,None,2010,Aleksandr Creote,,DC,1,null,null
47,Birds of Prey,None,2010,Dove,Dawn Granger,DC,1,Dawn,Granger
48,Birds of Prey,None,2010,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
49,Birds of Prey,None,2010,Lady Blackhawk,Zinda Blake,DC,1,Zinda,Blake
50,Birds of Prey,None,2010,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
51,Birds of Prey,None,2010,Penguin,,DC,1,null,null
52,Birds of Prey,None,2010,Savant,,DC,1,null,null
53,Birds of Prey,None,2010,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
54,Birds of Prey,None,2010,Aleksandr Creote,,DC,1,null,null
55,Birds of Prey,None,2010,Dove,Dawn Granger,DC,1,Dawn,Granger
56,Birds of Prey,None,2010,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
57,Birds of Prey,None,2010,Lady Blackhawk,Zinda Blake,DC,1,Zinda,Blake
58,Birds of Prey,None,2010,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
59,Birds of Prey,None,2010,Savant,,DC,1,null,null
60,Wonder Woman: Spirit of Truth,None,2001,Hippolyta,,DC,1,null,null
61,Wonder Woman: Spirit of Truth,None,2001,Wonder Woman,Diana,DC,1,,Diana
62,Wonder Woman,180,1942,I-Ching,,DC,1,null,null
63,Wonder Woman,180,1942,Steve Trevor,,DC,1,null,null
64,Wonder Woman,180,1942,Wonder Woman,,DC,1,null,null
65,Justice League of America,238,1960,Aquaman,,DC,1,null,null
66,Justice League of America,238,1960,Elongated Man,,DC,1,null,null
67,Justice League of America,238,1960,Flash,Barry Allen,DC,1,Barry,Allen
68,Justice League of America,238,1960,Gypsy,,DC,1,null,null
69,Justice League of America,238,1960,Martian Manhunter,,DC,1,null,null
70,Justice League of America,238,1960,Steel,Hank Heywood III,DC,1,Hank Heywood,III
71,Justice League of America,238,1960,Superman,,DC,1,null,null
72,Justice League of America,238,1960,Vibe,,DC,1,null,null
73,Justice League of America,238,1960,Vixen,,DC,1,null,null
74,Justice League of America,238,1960,Wonder Woman,,DC,1,null,null
75,Justice League of America,238,1960,Zatanna,,DC,1,null,null
76,The Flash,39,1987,Flash,Wally West,DC,1,Wally,West
77,The Flash,39,1987,Linda Jasmine Park-West,,DC,1,null,null
78,The Greatest Batman Stories Ever Told,None,1988,Batman,Golden Age/Undefined Earth,DC,1,Golden Age/Undefined,Earth
79,The Greatest Batman Stories Ever Told,None,1988,Batman,,DC,1,null,null
80,The Greatest Batman Stories Ever Told,None,1988,Batman,,DC,1,null,null
81,The Greatest Batman Stories Ever Told,None,1988,Deadshot,,DC,1,null,null
82,The Greatest Batman Stories Ever Told,None,1988,Joker,,DC,1,null,null
83,The Greatest Batman Stories Ever Told,None,1988,Penguin,,DC,1,null,null
84,The Greatest Batman Stories Ever Told,None,1988,Alfred Pennyworth,,DC,1,null,null
85,The Greatest Batman Stories Ever Told,None,1988,Robin,Dick Grayson,DC,1,Dick,Grayson
86,The Greatest Batman Stories Ever Told,None,1988,Robin,,DC,1,null,null
87,The Greatest Batman Stories Ever Told,None,1988,Robin,,DC,1,null,null
88,The Greatest Batman Stories Ever Told,None,1988,Scarecrow,,DC,1,null,null
89,The Greatest Batman Stories Ever Told,None,1988,Thomas Wayne,,DC,1,null,null
90,The Greatest Batman Stories Ever Told,None,1988,Wonder Girl,Donna Troy,DC,1,Donna,Troy
91,Justice League of America,45,1960,Atom,Ray Palmer,DC,1,Ray,Palmer
92,Justice League of America,45,1960,Batman,,DC,1,null,null
93,Justice League of America,45,1960,Flash,Barry Allen,DC,1,Barry,Allen
94,Justice League of America,45,1960,Green Arrow,,DC,1,null,null
95,Justice League of America,45,1960,Hawkman,Katar Hol,DC,1,Katar,Hol
96,Justice League of America,45,1960,Wonder Woman,,DC,1,null,null
97,The Flash,63,1987,Flash,Barry Allen,DC,1,Barry,Allen
98,The Flash,63,1987,Flash,Wally West,DC,1,Wally,West
99,The Flash,63,1987,Iris Ann Russell West,,DC,1,null,null
100,The Flash,151,1987,Aqualad,Garth,DC,1,,Garth
101,The Flash,151,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
102,The Flash,151,1987,Flash,Wally West,DC,1,Wally,West
103,The Flash,151,1987,Kid Flash,Wally West,DC,1,Wally,West
104,The Flash,151,1987,Robin,Dick Grayson,DC,1,Dick,Grayson
105,Green Arrow,4,2001,Aquaman,,DC,1,null,null
106,Green Arrow,4,2001,Batman,,DC,1,null,null
107,Green Arrow,4,2001,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
108,Green Arrow,4,2001,Black Manta,,DC,1,null,null
109,Green Arrow,4,2001,Flash,Wally West,DC,1,Wally,West
110,Green Arrow,4,2001,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
111,Green Arrow,4,2001,Green Lantern,Kyle Rayner,DC,1,Kyle,Rayner
112,Green Arrow,4,2001,Martian Manhunter,,DC,1,null,null
113,Green Arrow,4,2001,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
114,Green Arrow,4,2001,Speedy,Mia Dearden,DC,1,Mia,Dearden
115,Green Arrow,4,2001,Superman,Clark Kent,DC,1,Clark,Kent
116,Green Arrow,4,2001,Wonder Woman,Diana,DC,1,,Diana
117,Green Lantern,11,2011,Black Hand,,DC,1,null,null
118,Green Lantern,11,2011,Ganthet,,DC,1,null,null
119,Green Lantern,11,2011,Green Lantern,Jordan,DC,1,,Jordan
120,Green Lantern,11,2011,Munk,,DC,1,null,null
121,Green Lantern,11,2011,Sinestro,,DC,1,null,null
122,Green Arrow,113,1988,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
123,Green Arrow,113,1988,Green Arrow,Connor Hawke,DC,1,Connor,Hawke
124,Green Arrow,113,1988,Shado,,DC,1,null,null
125,Justice League United,5,2014,Animal Man,,DC,1,null,null
126,Justice League United,5,2014,Green Arrow,O. Queen,DC,1,O.,Queen
127,Justice League United,5,2014,Hawkman,,DC,1,null,null
128,Justice League United,5,2014,Martian Manhunter,,DC,1,null,null
129,Justice League United,5,2014,Stargirl,,DC,1,null,null
130,Justice League United,5,2014,Adam Strange,,DC,1,null,null
131,Justice League United,5,2014,Supergirl,,DC,1,null,null
132,Dark Knight III: The Master Race,1,2016,Atom,DKR/All-Star,DC,1,,DKR/All-Star
133,Dark Knight III: The Master Race,1,2016,Robin,DKR/All-Star,DC,1,,DKR/All-Star
134,Dark Knight III: The Master Race,1,2016,Superman,DKR/All-Star,DC,1,,DKR/All-Star
135,Dark Knight III: The Master Race,1,2016,Wonder Woman,DKR/All-Star,DC,1,,DKR/All-Star
136,Green Arrow,67,2001,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
137,Green Arrow,67,2001,Green Arrow,Connor Hawke,DC,1,Connor,Hawke
138,Green Arrow,67,2001,Speedy,Mia Dearden,DC,1,Mia,Dearden
139,Green Lantern: New Guardians,5,2011,Arkillo,,DC,1,null,null
140,Green Lantern: New Guardians,5,2011,Atrocitus,,DC,1,null,null
141,Green Lantern: New Guardians,5,2011,Bleez,,DC,1,null,null
142,Green Lantern: New Guardians,5,2011,Fatality,,DC,1,null,null
143,Green Lantern: New Guardians,5,2011,Green Lantern,Rayner,DC,1,,Rayner
144,Green Lantern: New Guardians,5,2011,Larfleeze,,DC,1,null,null
145,Green Lantern: New Guardians,5,2011,Munk,,DC,1,null,null
146,Green Lantern: New Guardians,5,2011,Saint Walker,,DC,1,null,null
147,Green Lantern: New Guardians,5,2011,Sayd,,DC,1,null,null
148,Aquaman,11,2003,Aquaman,,DC,1,null,null
149,Aquaman,11,2003,Batman,,DC,1,null,null
150,Aquaman,11,2003,Black Manta,,DC,1,null,null
151,Aquaman,11,2003,Tempest,Garth,DC,1,,Garth
152,Aquaman,11,2003,Nuidis Vulko,,DC,1,null,null
153,The Flash,148,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
154,The Flash,148,1987,Flash,Barry Allen,DC,1,Barry,Allen
155,The Flash,148,1987,Flash,Wally West,DC,1,Wally,West
156,The Flash,148,1987,Flash,,DC,1,null,null
157,The Flash,148,1987,Flash,,DC,1,null,null
158,The Flash,148,1987,Flash,Jace Allen,DC,1,Jace,Allen
159,The Flash,148,1987,Impulse,Bart Allen,DC,1,Bart,Allen
160,The Flash,148,1987,Jesse Quick,,DC,1,null,null
161,The Flash,148,1987,Kid Flash,Kingdom Come,DC,1,Kingdom,Come
162,The Flash,148,1987,Max Mercury,,DC,1,null,null
163,The Flash,148,1987,Professor Zoom,,DC,1,null,null
164,Superman/Batman: The Greatest Stories Ever Told,None,2007,Batman,,DC,1,null,null
165,Superman/Batman: The Greatest Stories Ever Told,None,2007,Deathstroke the Terminator,,DC,1,null,null
166,Superman/Batman: The Greatest Stories Ever Told,None,2007,Johnny Quick,Unknown,DC,1,,Unknown
167,Superman/Batman: The Greatest Stories Ever Told,None,2007,Joker,'Jack',DC,1,,'Jack'
168,Superman/Batman: The Greatest Stories Ever Told,None,2007,Lois Joanne Lane,,DC,1,null,null
169,Superman/Batman: The Greatest Stories Ever Told,None,2007,Alfred Thaddeus Crane Pennyworth,,DC,1,null,null
170,Superman/Batman: The Greatest Stories Ever Told,None,2007,Superman,Clark Kent,DC,1,Clark,Kent
171,Superman/Batman: The Greatest Stories Ever Told,None,2007,Superwoman,,DC,1,null,null
172,Superman/Batman: The Greatest Stories Ever Told,None,2007,Ultraman,,DC,1,null,null
173,Green Lantern,39,2005,Ganthet,,DC,1,null,null
174,Green Lantern,39,2005,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
175,Green Lantern,39,2005,Green Lantern,John Stewart,DC,1,John,Stewart
176,Green Lantern,39,2005,Larfleeze,,DC,1,null,null
177,Green Lantern,39,2005,Saint Walker,,DC,1,null,null
178,Green Lantern,39,2005,Salaak,,DC,1,null,null
179,Green Lantern,39,2005,Sayd,,DC,1,null,null
180,Green Lantern,39,2005,Stel,,DC,1,null,null
181,Green Lantern,39,2005,Barreer Wot,,DC,1,null,null
182,Green Lantern,7,2011,Black Hand,,DC,1,null,null
183,Green Lantern,7,2011,Ganthet,,DC,1,null,null
184,Green Lantern,7,2011,Green Lantern,Jordan,DC,1,,Jordan
185,Green Lantern,7,2011,Sinestro,,DC,1,null,null
186,Green Lantern,7,2011,Voz,,DC,1,null,null
187,Green Lantern Corps Quarterly,2,1992,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
188,Green Lantern Corps Quarterly,2,1992,Green Lantern,John Stewart,DC,1,John,Stewart
189,Green Lantern Corps Quarterly,2,1992,Green Lantern,Alan Scott,DC,1,Alan,Scott
190,Green Lantern Corps Quarterly,2,1992,Hector Hammond,,DC,1,null,null
191,Green Lantern Corps Quarterly,2,1992,Jade,Jennie-Lynn Hayden,DC,1,Jennie-Lynn,Hayden
192,Green Lantern Corps Quarterly,2,1992,Obsidian,,DC,1,null,null
193,Green Lantern Corps Quarterly,2,1992,Solomon Grundy,,DC,1,null,null
194,Wonder Woman,123,1987,Artemis,Amazons,DC,1,,Amazons
195,Wonder Woman,123,1987,Etrigan the Demon,,DC,1,null,null
196,Wonder Woman,123,1987,Hippolyta,,DC,1,null,null
197,Wonder Woman,123,1987,Donna Troy,,DC,1,null,null
198,Wonder Woman,123,1987,Wonder Girl,Cassie Sandsmark,DC,1,Cassie,Sandsmark
199,Wonder Woman,123,1987,Wonder Woman,Diana,DC,1,,Diana
200,Justice League Unlimited,43,2004,Blue Beetle,,DC,1,null,null
201,Justice League Unlimited,43,2004,Booster Gold,,DC,1,null,null
202,Justice League Unlimited,43,2004,Green Lantern,John Stewart,DC,1,John,Stewart
203,Justice League Unlimited,43,2004,Wonder Woman,,DC,1,null,null
204,Green Lantern: New Guardians,10,2011,Arkillo,,DC,1,null,null
205,Green Lantern: New Guardians,10,2011,Fatality,,DC,1,null,null
206,Green Lantern: New Guardians,10,2011,Green Lantern,Rayner,DC,1,,Rayner
207,Green Lantern: New Guardians,10,2011,Saint Walker,,DC,1,null,null
208,Aquaman and the Others,2,2014,Aquaman,,DC,1,null,null
209,The Greatest Batman Stories Ever Told,None,1988,Batgirl,Barbara Gordon,DC,1,Barbara,Gordon
210,The Greatest Batman Stories Ever Told,None,1988,Batman,,DC,1,null,null
211,The Greatest Batman Stories Ever Told,None,1988,Batman,,DC,1,null,null
212,The Greatest Batman Stories Ever Told,None,1988,James Worthington Gordon,,DC,1,null,null
213,The Greatest Batman Stories Ever Told,None,1988,Penguin,,DC,1,null,null
214,The Greatest Batman Stories Ever Told,None,1988,Alfred Pennyworth,,DC,1,null,null
215,The Greatest Batman Stories Ever Told,None,1988,Alfred Thaddeus Crane Pennyworth,,DC,1,null,null
216,The Greatest Batman Stories Ever Told,None,1988,Robin,Dick Grayson,DC,1,Dick,Grayson
217,The Greatest Batman Stories Ever Told,None,1988,Robin,Jason Todd,DC,1,Jason,Todd
218,Justice League: Generation Lost,6,2010,Blue Beetle,Jaime Reyes,DC,1,Jaime,Reyes
219,Justice League: Generation Lost,6,2010,Booster Gold,,DC,1,null,null
220,Justice League: Generation Lost,6,2010,Captain Atom,,DC,1,null,null
221,Justice League: Generation Lost,6,2010,Fire,,DC,1,null,null
222,Justice League: Generation Lost,6,2010,Ice,,DC,1,null,null
223,Justice League: Generation Lost,6,2010,Power Girl,,DC,1,null,null
224,Green Arrow,None,2001,Aqualad,Garth,DC,1,,Garth
225,Green Arrow,None,2001,Aquaman,,DC,1,null,null
226,Green Arrow,None,2001,Arsenal,Roy Harper,DC,1,Roy,Harper
227,Green Arrow,None,2001,Atom,Ray Palmer,DC,1,Ray,Palmer
228,Green Arrow,None,2001,Batman,,DC,1,null,null
229,Green Arrow,None,2001,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
230,Green Arrow,None,2001,Black Manta,,DC,1,null,null
231,Green Arrow,None,2001,Deadman,,DC,1,null,null
232,Green Arrow,None,2001,Etrigan the Demon,,DC,1,null,null
233,Green Arrow,None,2001,Flash,Barry Allen,DC,1,Barry,Allen
234,Green Arrow,None,2001,Flash,Wally West,DC,1,Wally,West
235,Green Arrow,None,2001,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
236,Green Arrow,None,2001,Green Arrow,Connor Hawke,DC,1,Connor,Hawke
237,Green Arrow,None,2001,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
238,Green Arrow,None,2001,Green Lantern,Kyle Rayner,DC,1,Kyle,Rayner
239,Green Arrow,None,2001,Lian Harper,,DC,1,null,null
240,Green Arrow,None,2001,Hawkman,Katar Hol,DC,1,Katar,Hol
241,Green Arrow,None,2001,Hawkman of New Earth,,DC,1,null,null
242,Green Arrow,None,2001,Kid Flash,Wally West,DC,1,Wally,West
243,Green Arrow,None,2001,Martian Manhunter,,DC,1,null,null
244,Green Arrow,None,2001,Mr. Terrific,Michael Holt,DC,1,Michael,Holt
245,Green Arrow,None,2001,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
246,Green Arrow,None,2001,Parallax,Hal Jordan,DC,1,Hal,Jordan
247,Green Arrow,None,2001,Poison Ivy,,DC,1,null,null
248,Green Arrow,None,2001,Robin,Dick Grayson,DC,1,Dick,Grayson
249,Green Arrow,None,2001,Robin,Jason Todd,DC,1,Jason,Todd
250,Green Arrow,None,2001,Shado,,DC,1,null,null
251,Green Arrow,None,2001,Spectre,Jim Corrigan,DC,1,Jim,Corrigan
252,Green Arrow,None,2001,Spectre,Hal Jordan,DC,1,Hal,Jordan
253,Green Arrow,None,2001,Speedy,Roy Harper,DC,1,Roy,Harper
254,Green Arrow,None,2001,Speedy,Mia Dearden,DC,1,Mia,Dearden
255,Green Arrow,None,2001,Superman,Clark Kent,DC,1,Clark,Kent
256,Green Arrow,None,2001,Wonder Girl,Donna Troy,DC,1,Donna,Troy
257,Green Arrow,None,2001,Wonder Woman,Diana,DC,1,,Diana
258,Justice League Quarterly,12,1990,Amazo,,DC,1,null,null
259,Justice League Quarterly,12,1990,Jesse Quick,,DC,1,null,null
260,Justice League Quarterly,12,1990,Blue Beetle,Ted Kord,DC,1,Ted,Kord
261,Justice League Quarterly,12,1990,Booster Gold,,DC,1,null,null
262,Justice League Quarterly,12,1990,Doctor Light,Kimiyo Hoshi,DC,1,Kimiyo,Hoshi
263,Justice League Quarterly,12,1990,Fire,,DC,1,null,null
264,Justice League Quarterly,12,1990,Flash,Wally West,DC,1,Wally,West
265,Justice League Quarterly,12,1990,Ice,,DC,1,null,null
266,Justice League Quarterly,12,1990,Metamorpho,Rex Mason,DC,1,Rex,Mason
267,The Hellblazer,1,2016,Jonathan 'John' Constantine,,DC,1,null,null
268,The Hellblazer,1,2016,Swamp Thing,,DC,1,null,null
269,The Flash,141,1987,Black Flash,Entity,DC,1,,Entity
270,The Flash,141,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
271,The Flash,141,1987,Flash,Wally West,DC,1,Wally,West
272,The Flash,141,1987,Impulse,Bart Allen,DC,1,Bart,Allen
273,The Flash,141,1987,Jesse Quick,,DC,1,null,null
274,The Flash,141,1987,Max Mercury,,DC,1,null,null
275,The Flash,141,1987,Linda Jasmine Park-West,,DC,1,null,null
276,The Flash,199,1987,Fred Chyre,,DC,1,null,null
277,The Flash,199,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
278,The Flash,199,1987,Flash,Barry Allen,DC,1,Barry,Allen
279,The Flash,199,1987,Flash,Wally West,DC,1,Wally,West
280,The Flash,199,1987,Impulse,Bart Allen,DC,1,Bart,Allen
281,The Flash,199,1987,Jared Morillo,,DC,1,null,null
282,The Flash,199,1987,Linda Jasmine Park-West,,DC,1,null,null
283,The Flash,199,1987,Zoom,,DC,1,null,null
284,Green Arrow,52,2011,Deathstroke,,DC,1,null,null
285,Green Arrow,52,2011,Green Arrow,O. Queen,DC,1,O.,Queen
286,The Flash,154,1959,Flash,Barry Allen,DC,1,Barry,Allen
287,The Flash,154,1959,Iris Ann Russell West,,DC,1,null,null
288,The Flash,112,1987,Flash,Jay Garrick,DC,1,Jay,Garrick
289,The Flash,112,1987,Flash,Wally West,DC,1,Wally,West
290,The Flash,112,1987,Flash,,DC,1,null,null
291,The Flash,112,1987,Impulse,Bart Allen,DC,1,Bart,Allen
292,The Flash,112,1987,Jesse Quick,,DC,1,null,null
293,The Flash,112,1987,Liberty Belle,Libby Lawrence,DC,1,Libby,Lawrence
294,The Flash,112,1987,Max Mercury,,DC,1,null,null
295,The Flash,112,1987,Linda Jasmine Park-West,,DC,1,null,null
296,The Flash,112,1987,Pied Piper,Hartley Rathaway,DC,1,Hartley,Rathaway
297,Green Arrow: The Wonder Year,3,1993,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
298,Green Lantern,186,1960,Carol Ferris,,DC,1,null,null
299,Green Lantern,186,1960,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
300,Green Lantern,186,1960,Green Lantern,John Stewart,DC,1,John,Stewart
301,Green Lantern,186,1960,Tom 'Pieface' Kalmaku,,DC,1,null,null
302,Justice League of America,8,2013,Aquaman,,DC,1,null,null
303,Justice League of America,8,2013,Atom,,DC,1,null,null
304,Justice League of America,8,2013,Black Manta,,DC,1,null,null
305,Justice League of America,8,2013,Cheetah,,DC,1,null,null
306,Justice League of America,8,2013,Deathstroke,,DC,1,null,null
307,Justice League of America,8,2013,Firestorm,,DC,1,null,null
308,Justice League of America,8,2013,Flash,,DC,1,null,null
309,Justice League of America,8,2013,Green Lantern,Baz,DC,1,,Baz
310,Justice League of America,8,2013,Johnny Quick,,DC,1,null,null
311,Justice League of America,8,2013,Martian Manhunter,,DC,1,null,null
312,Justice League of America,8,2013,Penguin,,DC,1,null,null
313,Justice League of America,8,2013,Poison Ivy,,DC,1,null,null
314,Justice League of America,8,2013,Scarecrow,,DC,1,null,null
315,Justice League of America,8,2013,Shazam,,DC,1,null,null
316,Justice League of America,8,2013,Stargirl,,DC,1,null,null
317,Justice League of America,8,2013,Superman,,DC,1,null,null
318,Justice League of America,8,2013,Superwoman,,DC,1,null,null
319,Justice League of America,8,2013,Ultraman,,DC,1,null,null
320,Justice League of America,8,2013,Wonder Woman,,DC,1,null,null
321,Green Arrow/Black Canary,2,2007,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
322,Green Arrow/Black Canary,2,2007,Green Arrow,Oliver Queen,DC,1,Oliver,Queen
323,Green Arrow/Black Canary,2,2007,Green Arrow,Connor Hawke,DC,1,Connor,Hawke
324,Green Arrow/Black Canary,2,2007,Speedy,Mia Dearden,DC,1,Mia,Dearden
325,Green Lantern,127,1960,Chaselon,,DC,1,null,null
326,Green Lantern,127,1960,Carol Ferris,,DC,1,null,null
327,Green Lantern,127,1960,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
328,Green Lantern,127,1960,Katma-Tui,,DC,1,null,null
329,Green Lantern,127,1960,Medphyll,,DC,1,null,null
330,Green Lantern,127,1960,Sinestro,,DC,1,null,null
331,Green Lantern,127,1960,Stel,,DC,1,null,null
332,Green Lantern,127,1960,Tomar-Re,,DC,1,null,null
333,Wonder Woman,247,1942,Elongated Man,,DC,1,null,null
334,Wonder Woman,247,1942,Wonder Woman,,DC,1,null,null
335,Wonder Woman,247,1942,Hippolyta,,DC,1,null,null
336,Flashpoint: Secret Seven,2,2011,Abra Kadabra,,DC,1,null,null
337,Flashpoint: Secret Seven,2,2011,Enchantress,,DC,1,null,null
338,Flashpoint: Secret Seven,2,2011,Raven,Rachel Roth,DC,1,Rachel,Roth
339,Flashpoint: Secret Seven,2,2011,Zatanna,,DC,1,null,null
340,Wonder Woman,5,2006,Wonder Woman,Diana,DC,1,,Diana
341,Justice League/Power Rangers,1,2017,Batman,Wayne,DC,1,,Wayne
342,Justice League/Power Rangers,1,2017,Cyborg,,DC,1,null,null
343,Justice League/Power Rangers,1,2017,Flash,,DC,1,null,null
344,Justice League International,21,1987,Batman,,DC,1,null,null
345,Justice League International,21,1987,Big Barda,,DC,1,null,null
346,Justice League International,21,1987,Blue Beetle,Ted Kord,DC,1,Ted,Kord
347,Justice League International,21,1987,Booster Gold,,DC,1,null,null
348,Justice League International,21,1987,Captain Atom,,DC,1,null,null
349,Justice League International,21,1987,Darkseid,,DC,1,null,null
350,Justice League International,21,1987,Fire,,DC,1,null,null
351,Justice League International,21,1987,Green Lantern,Guy Gardner,DC,1,Guy,Gardner
352,Justice League International,21,1987,Hawkman,GA Carter Hall,DC,1,GA Carter,Hall
353,Justice League International,21,1987,Ice,,DC,1,null,null
354,Justice League International,21,1987,L-Ron,,DC,1,null,null
355,Justice League International,21,1987,"Maxwell 'Max' Lord, IV",,DC,1,null,null
356,Justice League International,21,1987,Martian Manhunter,,DC,1,null,null
357,Justice League International,21,1987,Oberon,,DC,1,null,null
358,Justice League International,21,1987,Rocket Red #4,Dmitri Pushkin,DC,1,Dmitri,Pushkin
359,The Flash,266,1959,Flash,Barry Allen,DC,1,Barry,Allen
360,The Flash,266,1959,Heatwave,,DC,1,null,null
361,The Flash,266,1959,Iris Ann Russell West-Allen,,DC,1,null,null
362,The Flash,266,1959,Kid Flash,Wally West,DC,1,Wally,West
363,DC Super Hero Girls,1,2016,Batgirl,Barbara Gordon,DC,1,Barbara,Gordon
364,DC Super Hero Girls,1,2016,Beast Boy,Gar Logan,DC,1,Gar,Logan
365,DC Super Hero Girls,1,2016,Harley Quinn,,DC,1,null,null
366,DC Super Hero Girls,1,2016,Katana,,DC,1,null,null
367,DC Super Hero Girls,1,2016,Liberty Belle,Jesse Chambers,DC,1,Jesse,Chambers
368,DC Super Hero Girls,1,2016,Poison Ivy,,DC,1,null,null
369,DC Super Hero Girls,1,2016,Supergirl,Kara Zor-El,DC,1,Kara,Zor-El
370,DC Super Hero Girls,1,2016,Wonder Woman,Diana,DC,1,,Diana
371,Justice League Adventures,11,2002,Atom,Ray Palmer,DC,1,Ray,Palmer
